127.0.0.1 - - [05/Oct/2022:10:36:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:36:55 +0900] "GET /NAYEON/main.jsp HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:36:55 +0900] "GET /NAYEON/CSS/CSSmangdog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:36:55 +0900] "GET /NAYEON/img/yulmu2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:36:55 +0900] "GET /NAYEON/img/yulmu3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:36:55 +0900] "GET /NAYEON/img/yulmu5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:36:55 +0900] "GET /NAYEON/img/yulmu4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:36:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:37:22 +0900] "GET /NAYEON/CSS/CSSturn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:37:22 +0900] "GET /NAYEON/adopt.jsp HTTP/1.1" 200 18480
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:37:22 +0900] "GET /NAYEON/img/benefit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:37:22 +0900] "GET /NAYEON/img/step.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:46:13 +0900] "GET /NAYEON/mangdog.jsp HTTP/1.1" 200 9598
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:46:13 +0900] "GET /NAYEON/img/rank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/withdog.jsp HTTP/1.1" 200 46332
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/13.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/14.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/18.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/17.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/16.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/19.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/20.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/21.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/23.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/22.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/25.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:10:48:22 +0900] "GET /NAYEON/feed_img/26.png HTTP/1.1" 304 -
