127.0.0.1 - - [10/Nov/2022:23:32:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/CSS/CSSeffect.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/CSS/CSSsection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/CSS/CSSmangdog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/CSS/CSSturn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/adopt.jsp HTTP/1.1" 200 48667
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_04141388.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_04039479.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_04226936.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_04322861.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_0443903.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_03845395.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_03747165.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_03653936.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_03320907.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_0354714.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_03227796.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_03057955.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_0293378.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_02536136.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/dog_img/20221108_02739327.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/img/benefit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:09 +0900] "GET /NAYEON/img/step.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:23:32:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
